ID	cluster	dist_rf	dist_spr	PP	sqrt(PP)	sqrt_size	log_size
303	-1	8	3	0.0053026	0.0728189535766616	0.072819	-2.27551
304	4	8	3	0.0053025	0.0728182669390037	0.0728183	-2.27552
305	-1	6	2	0.0053025	0.0728182669390037	0.0728183	-2.27552
306	1	4	1	0.0053024	0.0728175802948711	0.0728176	-2.27553
307	-1	8	3	0.0053022	0.0728162069871811	0.0728162	-2.27554
308	3	8	2	0.0053021	0.0728155203236233	0.0728155	-2.27555
309	-1	8	3	0.0053021	0.0728155203236233	0.0728155	-2.27555
310	-1	8	3	0.0053021	0.0728155203236233	0.0728155	-2.27555
311	-1	6	3	0.0053021	0.0728155203236233	0.0728155	-2.27555
312	-1	8	2	0.0053019	0.0728141469770813	0.0728141	-2.27557
313	6	6	2	0.0053018	0.0728134602940967	0.0728135	-2.27558
314	7	8	2	0.0053017	0.0728127736046362	0.0728128	-2.27558
315	-1	8	3	0.0053017	0.0728127736046362	0.0728128	-2.27558
316	-1	8	2	0.0053017	0.0728127736046362	0.0728128	-2.27558
317	-1	8	3	0.0053016	0.0728120869086994	0.0728121	-2.27559
318	3	8	3	0.0053016	0.0728120869086994	0.0728121	-2.27559
319	4	8	3	0.0053014	0.0728107134973968	0.0728107	-2.27561
320	4	8	3	0.0053013	0.0728100267820305	0.07281	-2.27562
321	-1	8	2	0.0053011	0.0728086533318671	0.0728087	-2.27563
322	-1	8	2	0.0053011	0.0728086533318671	0.0728087	-2.27563
323	2	8	3	0.005301	0.0728079665970696	0.072808	-2.27564
324	-1	8	3	0.005301	0.0728079665970696	0.072808	-2.27564
325	-1	6	2	0.005301	0.0728079665970696	0.072808	-2.27564
326	-1	8	2	0.0053009	0.0728072798557946	0.0728073	-2.27565
327	-1	8	3	0.0053009	0.0728072798557946	0.0728073	-2.27565
328	6	8	2	0.0053009	0.0728072798557946	0.0728073	-2.27565
329	8	8	2	0.0053008	0.0728065931080421	0.0728066	-2.27566
330	3	6	2	0.0053008	0.0728065931080421	0.0728066	-2.27566
331	-1	8	3	0.0053006	0.0728052195931033	0.0728052	-2.27567
332	-1	8	3	0.0053005	0.0728045328259168	0.0728045	-2.27568
333	8	8	2	0.0053004	0.0728038460522519	0.0728038	-2.27569
334	-1	8	3	0.0053004	0.0728038460522519	0.0728038	-2.27569
335	-1	8	2	0.0053003	0.0728031592721085	0.0728032	-2.2757
336	-1	6	2	0.0053003	0.0728031592721085	0.0728032	-2.2757
337	5	6	2	0.0053001	0.0728017856923853	0.0728018	-2.27572
338	-1	8	3	0.0053001	0.0728017856923853	0.0728018	-2.27572
339	-1	8	2	0.0053	0.0728010988928052	0.0728011	-2.27572
340	-1	8	3	0.0052999	0.0728004120867458	0.0728004	-2.27573
341	-1	8	2	0.0052999	0.0728004120867458	0.0728004	-2.27573
342	-1	6	3	0.0052999	0.0728004120867458	0.0728004	-2.27573
343	-1	8	3	0.0052999	0.0728004120867458	0.0728004	-2.27573
344	-1	8	3	0.0052998	0.0727997252742069	0.0727997	-2.27574
345	-1	8	2	0.0052998	0.0727997252742069	0.0727997	-2.27574
346	-1	8	2	0.0052996	0.0727983516296901	0.0727984	-2.27576
347	2	8	3	0.0052996	0.0727983516296901	0.0727984	-2.27576
348	-1	8	2	0.0052995	0.0727976647977118	0.0727977	-2.27577
349	-1	8	3	0.0052994	0.0727969779592532	0.072797	-2.27577
350	-1	8	3	0.0052993	0.0727962911143143	0.0727963	-2.27578
351	1	6	1	0.0052993	0.0727962911143143	0.0727963	-2.27578
352	-1	8	3	0.0052993	0.0727962911143143	0.0727963	-2.27578
353	6	8	2	0.0052992	0.0727956042628949	0.0727956	-2.27579
354	3	6	3	0.005299	0.0727942305406136	0.0727942	-2.27581
355	-1	8	2	0.005299	0.0727942305406136	0.0727942	-2.27581
356	-1	4	2	0.0052988	0.0727928567924079	0.0727929	-2.27582
357	-1	8	3	0.0052988	0.0727928567924079	0.0727929	-2.27582
358	1	4	1	0.0052987	0.0727921699085829	0.0727922	-2.27583
359	-1	8	3	0.0052987	0.0727921699085829	0.0727922	-2.27583
360	-1	8	3	0.0052986	0.0727914830182762	0.0727915	-2.27584
361	-1	6	2	0.0052986	0.0727914830182762	0.0727915	-2.27584
362	-1	6	2	0.0052985	0.0727907961214878	0.0727908	-2.27585
363	-1	8	3	0.0052984	0.0727901092182173	0.0727901	-2.27586
364	-1	8	3	0.0052984	0.0727901092182173	0.0727901	-2.27586
365	-1	8	3	0.0052982	0.0727887353922295	0.0727887	-2.27587
366	3	6	2	0.0052981	0.0727880484695118	0.072788	-2.27588
367	1	8	1	0.0052981	0.0727880484695118	0.072788	-2.27588
368	7	6	2	0.005298	0.0727873615403114	0.0727874	-2.27589
369	-1	8	3	0.0052979	0.072786674604628	0.0727867	-2.2759
370	-1	8	2	0.0052978	0.0727859876624615	0.072786	-2.2759
371	3	6	2	0.0052978	0.0727859876624615	0.072786	-2.2759
372	7	8	2	0.0052975	0.0727839267970615	0.0727839	-2.27593
373	-1	8	2	0.0052975	0.0727839267970615	0.0727839	-2.27593
374	-1	8	3	0.0052975	0.0727839267970615	0.0727839	-2.27593
375	8	8	2	0.0052975	0.0727839267970615	0.0727839	-2.27593
376	-1	8	2	0.0052975	0.0727839267970615	0.0727839	-2.27593
377	-1	8	2	0.0052975	0.0727839267970615	0.0727839	-2.27593
378	-1	8	3	0.0052974	0.0727832398289606	0.0727832	-2.27594
379	4	8	3	0.0052974	0.0727832398289606	0.0727832	-2.27594
380	-1	8	2	0.005297	0.0727804918917151	0.0727805	-2.27597
381	-1	8	3	0.005297	0.0727804918917151	0.0727805	-2.27597
382	-1	6	2	0.005297	0.0727804918917151	0.0727805	-2.27597
383	-1	8	2	0.005297	0.0727804918917151	0.0727805	-2.27597
